engine_displacement_cc,vehicle_weight_kg,drag_coefficient,transmission_type,fuel_type,cylinders,turbocharged,drivetrain,tire_type,aerodynamics_package,fuel_efficiency_mpg
2035.1199264000677,3192.139920237705,0.42202793866988697,CVT,Petrol,4.0,No,AWD,Off-Road,Eco,52.13607485932087
3650.089137415928,2462.830608092222,0.39456286064169677,CVT,Petrol,4.0,No,AWD,Eco,Sport,57.328058498064266
2246.8443043576435,1428.990581834811,0.2635336723800003,Automatic,Petrol,4.0,Yes,FWD,Eco,Standard,18.193318667051194
3080.272084711243,865.8821102026527,0.39156701944595373,Automatic,Diesel,4.0,No,FWD,Performance,Standard,16.581001911873198
3186.841117373119,3149.2669595325106,0.35870764346852924,,Hybrid,4.0,No,4WD,Performance,Standard,27.925028384979697
1739.4178221021082,857.4274092960453,0.26634506914935563,Manual,Petrol,4.0,No,AWD,All-Season,Eco,60.03330420543142
4878.338511058235,3161.6945162473385,0.3416601283057313,Manual,Hybrid,4.0,No,FWD,Off-Road,Standard,56.18296254919869
4100.531293444458,2228.1302618734726,0.3469392574260094,Automatic,Diesel,,No,AWD,Performance,Sport,49.13636488976558
4757.995766256756,3335.4827859848197,0.28315490803265514,Manual,Hybrid,4.0,No,AWD,All-Season,,50.037933371985794
4579.309401710596,2956.7147365888964,0.43913962940005646,Manual,Diesel,3.0,,4WD,Performance,Sport,51.33352346291063
3391.5999152443405,3494.4220984400113,0.41999507429613236,Automatic,Diesel,4.0,No,RWD,Eco,Eco,62.13013502423735
4687.496940092467,1746.9219017196174,0.38380446746582164,AMT,Petrol,4.0,No,4WD,All-Season,Sport,
1353.970008207678,2871.4083801140428,0.34245911220012143,Automatic,Hybrid,4.0,No,FWD,All-Season,Sport,46.16951935135238
1783.9314496765808,1885.2134667449538,0.3323531083169017,Manual,Petrol,4.0,No,4WD,Performance,Eco,48.285771762857024
1180.9091556421522,2095.664174820554,0.38019469343019086,Manual,Hybrid,4.0,No,4WD,Off-Road,Eco,25.687013103056096
2301.3213230530573,2494.264750689599,0.3590863738813811,AMT,,4.0,No,AWD,Eco,Standard,47.865941257813624
2554.709158757928,3158.928208303115,0.26245462117637713,Manual,Petrol,8.0,No,4WD,,Standard,36.233950620922926
2085.3961270955833,3457.025366838097,0.3525005297540663,Manual,Petrol,8.0,Yes,FWD,All-Season,Sport,22.648093530287188
4314.950036607717,2874.338217434199,0.4112807234465679,Automatic,Diesel,4.0,No,RWD,,Sport,55.320140962328715
2427.0133067743573,1927.9703118518012,0.3418479755193916,Automatic,Petrol,4.0,No,4WD,All-Season,Sport,40.51235499015728
,1937.6639061480894,0.2603913155108537,Automatic,Hybrid,6.0,,4WD,Off-Road,Eco,63.87125208447108
3170.784332632994,2791.4722142900073,0.40725563987680663,Manual,Petrol,,No,RWD,Performance,Eco,29.083967723726246
1563.6968998990505,1444.6982935744163,0.29027275642719486,Manual,Petrol,4.0,No,FWD,Off-Road,Standard,39.03350561525384
4208.787923016159,1098.2801054547656,0.30172416697760773,AMT,Electric,4.0,Yes,FWD,All-Season,Sport,37.399772733443406
1298.2025747190833,1757.4798256300967,0.2829412706864592,Manual,Diesel,8.0,,4WD,Eco,Standard,21.038976121628934
4947.54774640207,1575.5452774660207,0.3160430129742995,Automatic,Hybrid,3.0,Yes,AWD,Eco,Eco,36.30576394153897
4088.9790771866296,1600.0319252311733,0.401350301137727,CVT,Petrol,4.0,No,4WD,Eco,Eco,29.377672821046247
1794.8627261366896,,0.3538771719007875,,Diesel,6.0,Yes,RWD,All-Season,Eco,23.016023568346718
1022.0884684944097,913.651612018177,0.2909762548301425,Automatic,Diesel,,Yes,RWD,Off-Road,Standard,29.107779201806963
4261.845713819337,848.2596237802173,0.4255660156304082,Manual,Diesel,,No,RWD,Eco,Eco,26.662584563319598
3827.4293753904685,,0.4259163709903059,Automatic,Diesel,8.0,Yes,4WD,Eco,Sport,51.7036765502939
3916.028672163949,1954.9874610868283,0.4241156850092014,DCT,Diesel,4.0,Yes,4WD,,Standard,16.538758912958006
4085.081386743783,1837.6819473311405,0.29775924227630785,DCT,Petrol,4.0,Yes,FWD,Performance,Eco,45.87313739566106
1296.1786069363616,2635.047663271289,0.3402478688361976,Manual,Petrol,4.0,No,AWD,All-Season,Standard,53.03306710118032
2433.8629141770907,1389.2854972356731,0.446997931228175,Manual,Diesel,,No,4WD,All-Season,Standard,39.03617282344866
1463.476238100519,3364.895196665608,0.4044024952619981,DCT,Petrol,4.0,Yes,FWD,,Eco,61.57824900039592
4452.413703502374,2923.1315389219903,0.255433484245112,CVT,Diesel,3.0,No,4WD,All-Season,Eco,50.39403476182677
3493.1925073102316,1041.4097062431006,0.2630409182520984,DCT,Petrol,4.0,No,FWD,All-Season,Standard,52.39618256557086
,1927.4680946193066,0.34278627536246653,Manual,Diesel,,Yes,FWD,Performance,Standard,24.846674372043513
1254.2334011440946,,0.431844041172312,Automatic,Diesel,4.0,Yes,AWD,Off-Road,Eco,53.864778791953675
2243.929286862649,3350.776460186808,0.35774035959054284,CVT,Petrol,4.0,Yes,4WD,Performance,Sport,56.60473680415574
2300.733288106988,2061.9840803746483,0.34956250160685803,Automatic,,4.0,No,FWD,Eco,Standard,33.06331942029948
3918.4247133522563,2456.2107508689105,0.2710947399913261,Automatic,Petrol,6.0,No,RWD,Performance,Standard,25.66815340164856
3550.2298854208525,1250.9916544486032,0.3813560209448588,Manual,Diesel,3.0,Yes,RWD,All-Season,Sport,34.252533960180834
4548.850970305306,3476.155290569837,,Automatic,Hybrid,4.0,No,RWD,Performance,Eco,51.98039845000686
2888.859700647797,1425.513593735297,,Manual,Petrol,4.0,Yes,AWD,All-Season,Eco,35.88195029343514
1478.3769837532068,3345.375790164839,0.4051223701850655,Automatic,Diesel,3.0,No,FWD,Performance,Sport,51.832593761239394
3852.97914889198,2554.045952279395,0.4428953307801623,AMT,Petrol,3.0,,AWD,All-Season,Eco,20.678227048876884
4043.14019446759,2440.8893461729194,0.29075329182553783,Automatic,Petrol,6.0,Yes,4WD,Eco,Eco,
3245.108790277985,2184.2589797445735,0.35466592623894827,CVT,Hybrid,4.0,No,4WD,All-Season,Standard,27.66037408211787
4083.868719818244,1422.8084916379485,0.30742759161691513,Manual,Petrol,3.0,Yes,FWD,Performance,Standard,27.446449385729686
2975.182385457563,1276.6256864148722,0.40857088380676787,Automatic,Petrol,4.0,No,RWD,Eco,Standard,44.51904826019304
3090.9313175279763,1395.3127644894735,0.3655186731762315,AMT,Petrol,6.0,Yes,FWD,Performance,Sport,18.505902287349482
2710.1640734341986,1303.3833077894872,0.3769164835100608,Manual,Petrol,4.0,No,FWD,Eco,Eco,16.314886334233428
1101.6765069763808,2904.878078630234,0.4095828319231788,,,4.0,Yes,FWD,Off-Road,Eco,28.05143326467246
1431.5657079732177,1745.3381997501713,0.329194094532491,Automatic,Petrol,,No,AWD,Off-Road,Standard,41.90337753674113
1125.716742746937,956.1752267211702,0.4330180136814087,Manual,Diesel,4.0,Yes,4WD,Off-Road,,60.38081931126136
,3416.5771013801905,0.356605773449228,CVT,Petrol,4.0,No,FWD,Performance,Sport,57.32175881536534
2257.4239243053066,3186.2218894012494,0.2815909645670696,DCT,Diesel,4.0,Yes,FWD,Performance,Eco,39.52232299604877
3034.282764658811,3304.931164627075,0.38917982363376047,Automatic,Petrol,4.0,No,FWD,Eco,Sport,
4630.265895704372,,0.4086522700876509,Manual,Petrol,4.0,Yes,AWD,Eco,Eco,
1997.1689165955,1269.5171728926157,0.3133523354135053,Automatic,Diesel,4.0,Yes,AWD,Eco,Sport,50.23977999626477
2641.531692142519,1869.8534510371787,0.4214358513997506,CVT,Electric,4.0,No,AWD,Eco,Standard,31.958226626251687
4022.2045541721945,2847.2438844010467,0.4312286509531533,Manual,Petrol,3.0,Yes,FWD,,Sport,20.553165164082735
1915.1926619664898,2679.255668745239,0.3053808974755618,Automatic,Hybrid,,Yes,RWD,Off-Road,Sport,28.928397660282968
1307.919639315172,1215.5189471176086,0.4467042945430444,Automatic,Diesel,8.0,No,RWD,All-Season,Standard,53.5794432233907
2159.005811655072,3002.749437474668,0.27814230560975167,Automatic,Diesel,8.0,No,RWD,All-Season,Eco,32.562191614166416
1644.8851490160177,1405.9895439589836,0.29040313368049797,Manual,Diesel,6.0,Yes,4WD,All-Season,Eco,55.599074534285506
4718.790609370292,1404.3075600210823,0.2868449678476052,CVT,Petrol,4.0,No,FWD,All-Season,Standard,30.97607259037379
4232.481518257668,2249.8309418122167,,Manual,Petrol,6.0,No,RWD,,Sport,23.17775192069091
3533.615026041694,2400.9378240725982,0.3808585104649924,Manual,Diesel,4.0,Yes,RWD,All-Season,Sport,36.79241797568041
4485.84236075087,2366.2327611620904,0.2804208566444546,DCT,Petrol,4.0,,,Eco,Sport,37.613725614456946
4214.688307596458,1047.0144609739382,0.3380646836736698,CVT,Hybrid,4.0,No,FWD,Performance,Eco,15.805410927466848
1746.2802355441434,3169.144329102027,0.3730596050139604,Manual,Petrol,4.0,No,RWD,Eco,Sport,20.85225363531631
4570.235993959911,1517.1201149895064,0.26669281699787667,Manual,Petrol,6.0,Yes,RWD,Performance,Eco,24.24630093864087
3157.3689676626027,,0.42648327368146777,Manual,Diesel,4.0,No,FWD,Eco,Sport,20.679365868933743
4229.7606206562505,3199.6198156462383,0.41072070708830705,Manual,Petrol,,Yes,4WD,Eco,Standard,32.07630377106819
4584.365199693973,3380.259045220334,0.35104135471532766,Manual,Diesel,8.0,Yes,AWD,Performance,Standard,63.2311427808509
2272.0138998874554,3127.744566616717,0.44342532305183413,Manual,Diesel,3.0,Yes,RWD,Off-Road,,40.4611269163539
1440.207698110707,2985.6934017571707,0.33355219585501994,Automatic,Hybrid,4.0,No,AWD,All-Season,Eco,46.37780119353232
1911.7406501677667,2569.153347725359,,CVT,Diesel,8.0,,4WD,Eco,Standard,32.81932392615141
2708.431154505025,2287.314900644676,0.38358399976072544,Automatic,Diesel,4.0,No,4WD,Off-Road,Standard,31.174388082157304
4272.059063689972,1034.8642517608073,0.37693425465078834,Automatic,Diesel,4.0,No,RWD,All-Season,Sport,16.157338595750417
4442.9223330253735,1902.8236752908865,0.283190979059157,Manual,Hybrid,4.0,,FWD,Off-Road,,40.016682783801116
1027.8085221247627,1806.2589959332477,0.42638555166092884,AMT,Petrol,,Yes,4WD,Off-Road,Eco,39.180450337583316
3042.989210310263,1501.3352161528808,0.33549793758412305,CVT,Petrol,6.0,Yes,AWD,All-Season,Standard,22.89153630905615
2669.644012595116,2753.2343069591793,0.28244668115649585,CVT,Petrol,4.0,Yes,,Eco,Eco,53.216200010335186
1888.4312418829209,2138.864484712681,0.25252150399515183,CVT,Petrol,4.0,No,AWD,Off-Road,Eco,39.63371651555015
1479.4614693347312,1018.8247829506495,0.36195113672767654,DCT,Diesel,3.0,No,AWD,Eco,Sport,31.949698508078665
2350.460685614512,1394.4946452644906,0.35547992442453524,Automatic,Diesel,3.0,Yes,4WD,Eco,Sport,22.345445451146347
4771.638815650076,2644.798661880909,0.39387072447383176,Manual,Diesel,8.0,Yes,RWD,Eco,Sport,42.60804134855062
2292.811728083021,1005.5533206238105,0.42805161060356045,Automatic,Petrol,4.0,Yes,RWD,All-Season,Sport,52.64085130444049
3075.162486973464,3098.2586679316755,0.2658813169286059,CVT,Diesel,4.0,No,AWD,Performance,Standard,29.099967634248586
3812.0758355807116,2136.895622937731,0.3962992980680725,CVT,Petrol,3.0,No,RWD,Eco,Sport,25.939717578836127
2454.518409517176,2097.5837587819497,0.28748238881951643,Automatic,Diesel,4.0,No,AWD,Performance,Standard,
4887.128330883843,2399.5010185806977,0.42163541063143284,Manual,Diesel,8.0,No,AWD,Performance,Sport,22.767165125500846
4849.789179768445,3026.638607997903,0.41381270277233123,Automatic,Petrol,4.0,No,FWD,Off-Road,Sport,48.33066932971425
2007.1291833014566,1739.0848613359212,0.35815875099710887,DCT,Petrol,4.0,Yes,4WD,Eco,Eco,45.26718139721152
2988.9940235695417,2630.6436119094715,0.39204855972466235,,Petrol,4.0,Yes,4WD,Eco,Standard,19.35410247957143
2203.5132392670785,2327.4763027886356,0.3128700226367497,Automatic,Hybrid,6.0,No,AWD,,Eco,16.826018969068695
2139.3619775098705,1520.9763294574377,0.34423357978656294,Manual,Hybrid,,No,4WD,Performance,,46.014432629429244
1147.5477894181313,3172.3009631589266,0.4143273795420943,Automatic,Diesel,6.0,Yes,RWD,All-Season,Standard,29.71468869943704
3438.2573359195876,2953.050258338706,,DCT,Petrol,4.0,No,AWD,,Sport,19.32228765866993
3010.716092915446,2577.819953577749,0.3215596530650884,Automatic,Petrol,6.0,No,FWD,Eco,Eco,52.971435247824324
,3096.5706685544533,0.34884248945005997,CVT,,4.0,No,RWD,Eco,Standard,30.702200150882206
2114.585856946446,3141.6943425914665,0.4156498504874437,Automatic,Diesel,4.0,No,FWD,Eco,Eco,37.97997748191118
4633.063543866615,2712.580037130594,0.31704160947417453,Automatic,Petrol,4.0,No,FWD,Performance,Sport,26.84064637268846
1958.2475626678897,3059.9359865819147,0.2847523186271488,Manual,Petrol,4.0,No,4WD,Eco,Sport,46.36585391789823
1579.5794883648923,2683.1729465070657,0.39240280406615613,CVT,Diesel,8.0,Yes,4WD,Off-Road,Sport,30.074420767717974
2957.811041110252,2636.380083752811,0.41519564254161634,Automatic,Petrol,6.0,,AWD,Eco,Standard,
4942.601816442402,2470.2507211809975,0.2701274957047067,Automatic,Petrol,4.0,,4WD,All-Season,Eco,50.147377430845324
1968.2210860460018,2832.3349268056313,0.29797482255118896,Automatic,Petrol,4.0,Yes,,Off-Road,Eco,21.83611381867329
3688.5421896235143,1228.233784291299,0.2783943979521988,DCT,Diesel,4.0,,FWD,Eco,Sport,
4046.4784613148704,3178.351049837107,0.3195882823164333,Manual,Hybrid,6.0,No,RWD,Off-Road,Eco,34.27105498649393
1950.5501759695985,3153.9775249121262,0.34007019578108255,CVT,Electric,4.0,Yes,FWD,Eco,Standard,41.71235553601916
3912.865394447438,,0.39976526739266127,Manual,Diesel,4.0,No,AWD,All-Season,Sport,57.096533723962665
2471.132530877013,3029.7052265248594,0.38022951697633484,Automatic,Diesel,4.0,Yes,,Eco,Sport,
,1147.948642178302,0.37418571349568625,Manual,Petrol,3.0,Yes,4WD,Off-Road,Sport,18.077833879999964
3534.1188430435786,1704.8209064996831,0.32047498932193086,,Diesel,4.0,Yes,4WD,All-Season,Standard,47.77078484014275
3143.098736299034,2807.472291987341,0.41828951061695197,Automatic,Petrol,4.0,Yes,4WD,Performance,Sport,15.413264897292919
1361.1590802176333,1234.0517193304322,,Manual,Diesel,4.0,Yes,AWD,All-Season,Sport,53.99802302701965
4341.2099823569515,3008.510965121468,0.4458209876030309,Automatic,Petrol,12.0,No,FWD,All-Season,Sport,48.3318036205621
2283.120259886943,3046.7622804859034,0.37682842765914737,DCT,Petrol,4.0,No,4WD,,Sport,30.4392829176293
,2170.162881154258,0.27525294831290054,Manual,Petrol,4.0,No,RWD,Off-Road,Eco,29.622090229475788
1163.1005662190557,817.2418536354506,0.3852355124150868,CVT,Petrol,4.0,Yes,4WD,,,54.913649827315275
3363.5717727529673,1575.0029595722644,0.3150208030863398,,Petrol,6.0,Yes,AWD,Eco,Standard,54.16683459623103
3710.2574473691297,2465.7026796145037,0.38726543933721946,Automatic,Petrol,4.0,Yes,4WD,All-Season,Sport,32.61511771883799
1066.3513157114246,,0.26392822963248114,Manual,Electric,4.0,No,FWD,All-Season,Sport,29.947386403989015
3048.372233197124,2505.8965229450046,0.2849762874351919,Manual,Petrol,3.0,Yes,4WD,Eco,Eco,42.991239444139495
1905.983100791752,1501.4696688732315,0.4211474517811573,Manual,Diesel,3.0,No,AWD,Eco,Sport,
3580.6911616377993,2511.815398368951,0.295435911404703,Manual,Hybrid,4.0,No,AWD,Performance,Eco,19.133351899327113
1697.4657160199658,2257.9605252328097,0.417408225048588,,Electric,6.0,No,RWD,All-Season,Standard,21.308479507436836
3763.7509524098637,2905.5825669080878,0.3058552176908821,Automatic,Diesel,6.0,No,AWD,Off-Road,Eco,24.270590891358708
2546.94138520215,1088.8477248327877,0.37857638201174154,DCT,Hybrid,3.0,Yes,RWD,All-Season,Sport,40.60090633377345
4746.919954946938,2854.7753367554756,0.3888301147019662,CVT,Petrol,4.0,Yes,FWD,All-Season,Standard,64.6120957430561
1550.0837765839728,,0.3525309506290106,Automatic,Petrol,8.0,Yes,AWD,Eco,Sport,47.630670087367676
2364.265404201034,3400.0784104192853,0.31106213533934624,Manual,Petrol,4.0,No,4WD,Performance,Eco,18.06493972246118
1453.8940849623564,,0.2925288752742192,,Diesel,6.0,Yes,FWD,,Standard,41.278968703112085
4698.774473114251,2508.07911146166,0.25663787091248524,Automatic,,4.0,Yes,4WD,Off-Road,Standard,39.83226061947522
4509.357413523924,3316.475884877047,0.3107892802481448,Manual,Petrol,8.0,No,4WD,All-Season,Eco,22.208390790902474
2031.7665108606225,1076.776265574834,,Automatic,Petrol,6.0,Yes,4WD,Off-Road,,61.01361844012038
3639.9361841367163,3330.5169155384183,0.43766096368969654,Automatic,Diesel,8.0,No,FWD,Eco,Standard,37.03826238376845
4268.888800804863,2657.2914502121957,0.4242408964526104,Automatic,Petrol,4.0,No,FWD,Performance,Standard,64.72795703048698
,983.1600595839641,0.4032129553070605,Automatic,Diesel,4.0,Yes,AWD,All-Season,Eco,36.003614762608215
3118.602313424026,1612.601630756404,0.40768946865065975,CVT,,8.0,Yes,4WD,Performance,Sport,45.39788513418046
1967.4091636018068,2712.0646393422603,0.38299698069519905,CVT,Diesel,4.0,Yes,RWD,All-Season,Standard,20.238126822572003
1372.4110712235968,981.8466239656836,0.3020573715132006,Automatic,Diesel,4.0,No,AWD,Off-Road,Eco,37.71139119034346
4588.863031813307,2371.860242475938,0.431439006141166,DCT,Hybrid,6.0,No,FWD,Performance,Sport,
4601.672228653322,1733.8842537729831,0.3841464623811668,AMT,Petrol,6.0,No,RWD,All-Season,Standard,56.77823992856175
3532.4058290930716,2476.4718979721883,0.362088126196088,Automatic,Diesel,8.0,No,FWD,Eco,Standard,54.195979243376996
2356.1191641948026,,0.2721978938426962,Automatic,Diesel,4.0,No,RWD,Off-Road,Eco,56.20899998126792
2396.8382984506434,3153.149376611416,0.3394111087612851,Automatic,Petrol,6.0,Yes,AWD,Performance,Sport,51.18047188789757
3903.8227154809574,3428.4202167789717,0.34207165424038527,DCT,Petrol,6.0,Yes,RWD,All-Season,Standard,
4588.441039810308,3415.970209271367,0.422912721904534,DCT,Petrol,3.0,No,AWD,Performance,Sport,25.041437508746043
4548.345697060469,2824.059945705897,0.3593296440375577,Manual,Petrol,4.0,,FWD,All-Season,Sport,37.60218882899008
4119.502183430495,1151.2328483527062,0.3260801097940819,Automatic,Diesel,4.0,Yes,RWD,Off-Road,Standard,49.59234399729841
,2847.310629008361,0.4453600657021319,Automatic,Hybrid,4.0,No,4WD,Eco,Sport,46.86962489675675
1336.5598599801954,866.384674438764,0.2721441186652631,Automatic,Petrol,12.0,No,4WD,Off-Road,,50.817724143704346
1646.514856378455,859.7335891282926,0.3345096856623889,Manual,,4.0,No,FWD,Performance,Sport,26.212919157561586
4594.216754108316,1673.7475917037614,0.2584049350342811,DCT,Electric,6.0,No,RWD,Performance,Standard,19.921735452249486
3425.7162386383598,2119.3366140925973,0.3979808241533861,Automatic,Petrol,8.0,Yes,4WD,All-Season,Eco,60.84032890373882
1036.7882064665187,2880.1000280810417,0.43361531043983015,CVT,Petrol,4.0,No,AWD,Off-Road,Standard,
1405.8861714641284,2644.8975168375637,0.30600746591009786,DCT,Diesel,6.0,Yes,RWD,All-Season,Standard,22.691296225370547
3654.007076432223,2003.9373072172205,0.4216683353598242,CVT,,4.0,Yes,RWD,Off-Road,Standard,54.67182909436808
1020.2463353848748,1538.791998960498,0.30844364609237956,Automatic,Petrol,6.0,No,4WD,Performance,Sport,60.74649683146413
1643.2322056699945,3492.23615042582,0.432154032328783,Automatic,Petrol,4.0,Yes,AWD,,Eco,23.47817592855545
3194.9351574663447,1950.6895160371269,0.4007923807193568,Manual,,8.0,No,AWD,All-Season,Sport,55.87062276345553
3767.580790770773,2018.7449656901238,,Automatic,Diesel,4.0,Yes,AWD,Off-Road,Sport,61.661253065956416
3607.8450380104023,1241.7843172175067,0.2536013111200909,Manual,Diesel,4.0,No,RWD,,Standard,61.918080014800864
1897.0772378422391,2945.9857816248095,0.4425620714148052,Automatic,Petrol,6.0,Yes,FWD,Off-Road,Sport,60.707823082675056
3848.7168853901435,2672.9420096100193,0.3953341984140647,Manual,Diesel,4.0,No,RWD,Eco,Standard,42.32105061800514
1948.9963499872001,1396.0779545296532,0.31095021907722664,Manual,Hybrid,4.0,No,RWD,Off-Road,Eco,32.810565862693466
2301.598792637071,1022.4288231627753,0.41587893297176937,,Petrol,4.0,Yes,,Performance,Sport,15.363640384700464
3985.9656204720964,2637.348115601725,0.306304239682986,Manual,Petrol,6.0,,FWD,All-Season,Sport,18.045611343576354
3598.5315961888587,,0.4245507679132256,CVT,Diesel,4.0,Yes,AWD,Off-Road,Sport,36.44195076486953
4396.893641976712,1537.800722895165,0.2725160780823874,CVT,Petrol,3.0,Yes,4WD,Performance,Standard,34.96630731957552
3630.4515692013733,3367.331618076108,0.39073719549215913,Automatic,Petrol,4.0,No,RWD,Off-Road,Standard,24.235695478494158
3273.2344133418865,1207.8563078084308,0.35813969532898204,Manual,Diesel,4.0,No,FWD,All-Season,Sport,34.77400140158284
1374.6990713123698,1967.3039628150252,0.26930689403908814,Manual,Hybrid,4.0,Yes,AWD,Off-Road,Sport,23.732503272768405
2470.863212237734,3347.762984452517,0.2983787656517678,Manual,Hybrid,4.0,Yes,AWD,Eco,Eco,57.439562638792026
2060.809470726902,1933.2637557005303,0.25248080725546296,Manual,Diesel,4.0,Yes,RWD,All-Season,Eco,29.90974389377994
,2524.020058693031,0.34375359309290116,DCT,Diesel,3.0,No,AWD,Eco,Eco,
4892.0422190097825,1873.5048744995445,0.31025305215200005,Manual,Petrol,4.0,Yes,AWD,Performance,Eco,40.14215309995434
,1540.381046341409,,Automatic,Diesel,6.0,No,,Performance,Eco,17.59410387969961
4568.186220708453,3456.739649491536,0.3094475615417234,Manual,Petrol,4.0,No,4WD,Off-Road,Standard,62.11168597455831
